物品ID,GroupID,名字,物品类,物品小类,使用国籍,使用职业,使用职业分支,使用等级,天境等级,叠放数量,买入基础价格,卖出基础价格,基础物品档次,拾取后广播标志,拥有最多个数,能否放快捷栏,绑定标志位,使用期限,死亡掉落固定概率,物品栏图片_正常,物品栏图片_高亮,物品栏图片_无效,物品图标光效ID,宝箱外观资源ID,宝箱闪烁资源ID,是否任务物品,描述,任务物品丢弃时可以配置,使用次数,作用id,浮动提示,是否需要掷骰子,是否同步扩展数据,怪物掉装的音效ID,跨服海盗,物品价值/礼包售价,价值类型0普通1礼包2绑金,家园仓库0不可1可
76533,76533,甜粽礼盒,2,12,0,10000,10000,0,,999,100,1,1,0,0,0,61,0,0,7741,7741,7741,0,4427,1008,0,在粽心之选活动中选择甜粽一方时，有概率获得的礼包。<br>开启必得：[yellow]云镜之灵*1<br>蓝色神明宝匣*1<br>背饰-云蓝(碎片)*1[/yellow]<br>若是本次活动是甜粽阵营获胜所有个人助力值大于14500的甜粽阵营玩家可获得[yellow][头像]粽心之选[/yellow],,1,76533,,0,0,0,0,1,1,0
76534,76534,咸粽礼盒,2,12,0,10000,10000,0,,999,100,1,1,0,0,0,61,0,0,7742,7742,7742,0,4427,1008,0,在粽心之选活动中选择咸粽一方且获胜时，有概率获得的礼包。<br>开启必得：[yellow]玄珠碎片(非绑)*1<br>紫色神明宝匣*1<br>星繁之灵*1<br>[坐骑变身卡]龙舟(非绑)（30天）*1[/yellow]<br>若是本次活动是咸粽阵营获胜所有个人助力值大于14500的咸粽阵营玩家可获得[yellow][头像]粽心之选[/yellow],,1,76534,,0,0,0,0,1,1,0
76535,76535,咸粽礼盒,2,12,0,10000,10000,0,,999,100,1,1,0,0,0,61,0,0,7742,7742,7742,0,4427,1008,0,在粽心之选活动中选择咸粽一方时，有概率获得的礼包。<br>开启必得：[yellow]云镜之灵*1<br>蓝色神明宝匣*1<br>背饰-云蓝(碎片)*1[/yellow]<br>若是本次活动是咸粽阵营获胜所有个人助力值大于14500的咸粽阵营玩家可获得[yellow][头像]粽心之选[/yellow],,1,76535,,0,0,0,0,1,1,0
76536,76536,粽子原料,2,12,0,10000,10000,10,,999,100,1,1,0,0,1,61,0,0,3078,3078,3078,0,1003,1008,0,包粽子所需的原材料<br>[yellow]在粽心之选活动中，为选择的粽子流派助力可得丰厚的奖励[/yellow]<br>[red]仅在2025年5月27日至2025年6月17活动期间内有效[/red],,1,76536,,0,0,0,0,1,1,0
76537,76537,云游记礼包（完成1圈）,2,12,0,10000,10000,0,,9999,100,1,1,0,0,0,61,0,0,1905,1905,1905,0,4427,1008,0,右键开启获得[yellow]绿色蛇卡碎片包（绑定）*2[/yellow],,1,76537,,0,0,0,0,1,1,0
76538,76538,云游记礼包（完成2圈）,2,12,0,10000,10000,0,,9999,100,1,1,0,0,0,61,0,0,1905,1905,1905,0,4427,1008,0,右键开启获得[yellow]蓝色蛇卡碎片包（绑定）*3[/yellow],,1,76538,,0,0,0,0,1,1,0
76539,76539,云游记礼包（完成10圈）,2,12,0,10000,10000,0,,9999,100,1,1,0,0,0,61,0,0,1905,1905,1905,0,4427,1008,0,右键开启获得[yellow]蓝色蛇卡碎片包（绑定）*10[/yellow],,1,76539,,0,0,0,0,1,1,0
76540,76540,【异火幻化】美馔,2,33,0,10000,10000,30,,1,100,1,1,0,0,0,61,0,0,8529,8529,8529,0,4427,1008,0,[orange]异火幻化[/orange]<br>这是一场味蕾的烟花秀。,,1,76540,,0,0,0,0,1,0,0
76541,76541,萌宝补偿礼包,2,12,0,10000,10000,0,,100,100,1,1,0,0,0,61,0,0,1415,1415,1415,0,4427,1008,0,可选择兑换以下物品之一：[yellow]<br>仙桃*20<br>人参果*10[/yellow],,1,76541,,0,0,0,0,1,1,0
76544,76544,青铜虎符(武器),2,12,0,10000,10000,60,,1,100,1,3,0,0,0,61,0,0,4678,4678,4678,0,4427,1008,0,用于低级符文打造，可以激活武器的符文力量。属性：攻击力+1%，防御力+2%，受到致命-1%<br>[yellow]使用有效期1个月，可用本体虎符进行续时。[/yellow]<br>[red]注意：清除符文会把当前符文的剩余时间记录到返还的虎符上，用此虎符打造或续时增加的时间等于此虎符的剩余时间！[/red],,1,76544,,0,0,0,0,1,1,0
76545,76545,青铜虎符(护腕),2,12,0,10000,10000,60,,1,100,1,3,0,0,0,61,0,0,4678,4678,4678,0,4427,1008,0,用于低级符文打造，可以激活护腕的符文力量。属性：攻击力+1%，防御力+2%，受到致命-1%<br>[yellow]使用有效期1个月，可用本体虎符进行续时。[/yellow]<br>[red]注意：清除符文会把当前符文的剩余时间记录到返还的虎符上，用此虎符打造或续时增加的时间等于此虎符的剩余时间！[/red],,1,76545,,0,0,0,0,1,1,0
76546,76546,青铜虎符(戒指),2,12,0,10000,10000,60,,1,100,1,3,0,0,0,61,0,0,4678,4678,4678,0,4427,1008,0,用于低级符文打造，可以激活戒指的符文力量。属性：攻击力+1%，防御力+2%，受到致命-1%<br>[yellow]使用有效期3个月，可用本体虎符进行续时。[/yellow]<br>[red]注意：清除符文会把当前符文的剩余时间记录到返还的虎符上，用此虎符打造或续时增加的时间等于此虎符的剩余时间！[/red],,1,76546,,0,0,0,0,1,1,0
76547,76547,青铜虎符(头盔),2,12,0,10000,10000,60,,1,100,1,3,0,0,0,61,0,0,4678,4678,4678,0,4427,1008,0,用于低级符文打造，可以激活头盔的符文力量。属性：攻击力+1%，防御力+2%，受到致命-1%<br>右键可分解为混元礼包*1<br>[yellow]使用有效期3个月，可用本体虎符进行续时。[/yellow]<br>[red]注意：清除符文会把当前符文的剩余时间记录到返还的虎符上，用此虎符打造或续时增加的时间等于此虎符的剩余时间！[/red],,1,76547,,0,0,0,0,1,1,0
76548,76548,青铜虎符(项链),2,12,0,10000,10000,60,,1,100,1,3,0,0,0,61,0,0,4678,4678,4678,0,4427,1008,0,用于低级符文打造，可以激活项链的符文力量。属性：攻击力+1%，防御力+2%，受到致命-1%<br>右键可分解为混元礼包*1<br>[yellow]使用有效期3个月，可用本体虎符进行续时。[/yellow]<br>[red]注意：清除符文会把当前符文的剩余时间记录到返还的虎符上，用此虎符打造或续时增加的时间等于此虎符的剩余时间！[/red],,1,76548,,0,0,0,0,1,1,0
76549,76549,青铜虎符(披风),2,12,0,10000,10000,60,,1,100,1,3,0,0,0,61,0,0,4678,4678,4678,0,4427,1008,0,用于低级符文打造，可以激活披风的符文力量。属性：攻击力+1%，防御力+2%，受到致命-1%<br>[yellow]使用有效期1个月，可用本体虎符进行续时。[/yellow]<br>[red]注意：清除符文会把当前符文的剩余时间记录到返还的虎符上，用此虎符打造或续时增加的时间等于此虎符的剩余时间！[/red],,1,76549,,0,0,0,0,1,1,0
76550,76550,青铜虎符(护腿),2,12,0,10000,10000,60,,1,100,1,3,0,0,0,61,0,0,4678,4678,4678,0,4427,1008,0,用于低级符文打造，可以激活护腿的符文力量。属性：攻击力+1%，防御力+2%，受到致命-1%<br>右键可分解为混元礼包*1<br>[yellow]使用有效期3个月，可用本体虎符进行续时。[/yellow]<br>[red]注意：清除符文会把当前符文的剩余时间记录到返还的虎符上，用此虎符打造或续时增加的时间等于此虎符的剩余时间！[/red],,1,76550,,0,0,0,0,1,1,0
76551,76551,青铜虎符(鞋子),2,12,0,10000,10000,60,,1,100,1,3,0,0,0,61,0,0,4678,4678,4678,0,4427,1008,0,用于低级符文打造，可以激活鞋子的符文力量。属性：攻击力+1%，防御力+2%，受到致命-1%<br>右键可分解为混元礼包*1<br>[yellow]使用有效期3个月，可用本体虎符进行续时。[/yellow]<br>[red]注意：清除符文会把当前符文的剩余时间记录到返还的虎符上，用此虎符打造或续时增加的时间等于此虎符的剩余时间！[/red],,1,76551,,0,0,0,0,1,1,0
76553,76553,淬体丹,2,12,0,10000,10000,60,,9999,100,1,1,0,0,0,61,0,0,8377,8377,8377,0,4427,1008,0,修士常用基础丹药，以火灵草、血参为主材炼制，服后可刺激肉身、疏通经络，增强气血之力,,1,0,,0,0,0,0,1,0,0
76542,76542,连斩播报-美食节（30天）,2,12,0,10000,10000,0,,100,100,1,1,0,0,0,61,0,0,8530,8530,8530,0,4427,1008,0,[yellow]星月为之失色，山河因其改颜！[/yellow]<br>使用后，可以在魅力系统激活连斩播报-美食节（30天）属性：攻击+2%，防御+4%，致命+2%，卓越一击+4%,,1,76542,,0,0,0,0,1,1,0
76554,76554,玉罗纱时装卡,2,3,0,10000,10000,0,,9999,100,1,1,0,0,1,61,0,0,1419,1419,1419,0,1003,1008,0,[yellow]开启获得对应性别的时装:<br>玉罗纱（30天）[/yellow],,1,76554,,0,0,0,0,1,0,0
76555,76555,【聊天泡泡】秀色(30天),2,1,0,10000,10000,0,,1,100,1,7,1,0,0,61,0,0,8378,8378,7039,0,4427,1008,0,聊天泡泡，使用后获得秀色聊天泡泡框，时限30天，<br>[red]提示：使用新泡泡将会替换当前泡泡，紫金VIP及美女认证的泡泡将会在新泡泡过期后显示[/red],,1,76555,,1,0,0,0,1,0,0
76558,76558,水琼三色莲,2,12,0,10000,10000,0,,1000,100,1,1,33,0,0,61,0,0,2260,2260,2260,0,1003,1008,0,[yellow]美食节活动食材[/yellow]<br>水琼三色莲是一种生长在水中，拥有三种颜色的珍贵莲花。<br>[yellow]可参与烹饪大师活动兑换美味食品礼包，也可以直接食用增加45点体重值[/yellow]<br>[red]建议主要使用本食材增加体重值，并且每天最多可食用50个！[/red],,1,76558,,3,0,0,0,1,0,0
76559,76559,千幻梦魇花,2,12,0,10000,10000,0,,1000,100,1,1,33,0,0,61,0,0,149,149,149,0,1003,1008,0,[yellow]美食节活动食材[/yellow]<br>千幻梦魇花是具有变幻形态，引人入梦特质的花卉。<br>[yellow]可参与烹饪大师活动兑换美味食品礼包，也可以直接食用增加45点体重值[/yellow]<br>[red]建议主要使用本食材增加体重值，并且每天最多可食用50个！[/red],,1,76559,,3,0,0,0,1,0,0
76560,76560,醉妖迷仙草,2,12,0,10000,10000,0,,1000,100,1,1,33,0,0,61,0,0,1782,1782,1782,0,1003,1008,0,[yellow]美食节活动食材[/yellow]<br>醉妖迷仙草是具有独特魅力，能使妖与仙都为之迷醉的植物。<br>[yellow]可参与烹饪大师活动兑换美味食品礼包，也可以直接食用增加45点体重值[/yellow]<br>[red]建议主要使用本食材增加体重值，并且每天最多可食用50个！[/red],,1,76560,,3,0,0,0,1,0,0
76561,76561,九幽血凝芝,2,12,0,10000,10000,0,,1000,100,1,1,33,0,0,61,0,0,7211,7211,7211,0,1003,1008,0,[yellow]美食节活动食材[/yellow]<br>九幽血凝芝汲取九幽气息，凝结成暗红色泽的奇异芝草。<br>[yellow]可参与烹饪大师活动兑换美味食品礼包，也可以直接食用增加55点体重值[/yellow]<br>[red]九幽血凝芝产量稀少，不建议直接食用本食材，并且每天最多可食用50个！[/red],,1,76561,,3,0,0,0,1,0,0
76562,76562,天元灵烛果,2,12,0,10000,10000,0,,1000,100,1,1,33,0,0,61,0,0,3371,3371,3371,0,1003,1008,0,[yellow]美食节活动食材[/yellow]<br>天元灵烛果凝聚天地初开精粹，形似烛照寰宇的圣果。<br>[yellow]可参与烹饪大师活动兑换美味食品礼包，也可以直接食用增加2000点体重值[/yellow]<br>[red]天元灵烛果产量非常稀少，不建议直接食用本食材，并且每天最多可食用50个！[/red],,1,76562,,3,0,0,0,1,0,0
76563,76563,珍馐礼包,2,12,0,10000,10000,0,,100,100,1,1,0,0,0,61,0,0,2590,2590,2590,0,4427,1008,0,开启有机会获得[yellow]补天灵石*3、洗练石*1、星灵石*1，以及丰厚绑金[/yellow]中的2个,,1,76563,,0,0,0,0,1,1,0
76564,76564,高级珍馐礼包,2,12,0,10000,10000,0,,100,100,1,1,0,0,0,61,0,0,2590,2590,2590,0,4427,1008,0,开启有机会获得[yellow]操练符*1、武韬*5、文韬*5、苍穹石·红莲*2、元灵石·红莲*1[/yellow]中的2个,,1,76564,,0,0,0,0,1,1,0
76565,76565,华丽珍馐礼包,2,12,0,10000,10000,0,,100,100,1,1,0,0,0,61,0,0,2590,2590,2590,0,4427,1008,0,开启有机会获得[yellow]修为果*4、圣灵果*1、天神技能礼包*1、高级仙藕*3、资质丹*1、属性丹*1、契合丹*1[/yellow]中的2个,,1,76565,,0,0,0,0,1,1,0
76566,76566,完美珍馐礼包,2,12,0,10000,10000,0,,100,100,1,1,0,0,0,61,0,0,2590,2590,2590,0,4427,1008,0,开启必得：[yellow]普通舞会门票*1、绿色蛇卡碎片包*2[/yellow]<br>概率额外获得一下道具之一：<br>[yellow]混元精华*1、天道玉·红莲*1、重铸宝石礼包*1、天诀*5、黄金符文*2[/yellow],,1,76566,,0,0,0,0,1,1,0
76567,76567,豪华珍馐礼包,2,12,0,10000,10000,0,,100,100,1,1,0,0,0,61,0,0,2590,2590,2590,0,4427,1008,0,开启获得：[yellow]<br>背饰-一坛好酒*1<br>卯珠*1<br>蜜枣山楂粽【仙品】*10<br>混元礼包*2<br>天道玉·红莲*2<br>10000绑金*1[/yellow],,1,76567,,0,0,0,0,1,1,0
76568,76568,至尊珍馐礼包,2,12,0,10000,10000,0,,100,100,1,1,0,0,0,61,0,0,2590,2590,2590,0,4427,1008,0,开启获得：[yellow]<br>坚强蛇(蓝色蛇卡)*1<br>玄兵碎片-武器(非绑)*56<br>四元礼包*3<br>红莲之焰(史诗)*2<br>龙凤呈祥仙酿【仙品】*5<br>5万绑金*1[/yellow],,1,76568,,0,0,0,0,1,1,0
76569,76569,美食节红包券,2,19,0,10000,10000,0,,1,100,1,1,33,0,0,61,86400,0,731,731,731,0,1003,1008,0,[yellow]远征美食节活动专属福利券，右键使用后可到官方活动网站参与抽取现金红包、非绑金币、以及丰厚绑金！[/yellow]<br>最高可获得50元现金红包！,,1,76569,,3,0,0,0,1,0,0
76570,76570,美食节红包券碎片,2,12,0,10000,10000,0,,100,100,1,1,33,0,0,61,0,0,8302,8302,8302,0,1003,1008,0,[yellow]远征美食节活动专属福利券的碎片，可兑换美食节红包券、经验道具、黄金符文等，后期更可兑换神秘游戏道具！[/yellow]<br>美食节红包券最高可抽取50元现金红包！,,1,76570,,3,0,0,0,1,0,0
76571,76571,漂移联赛周排名礼包,2,12,0,10000,10000,0,,100,100,1,1,0,0,0,61,0,0,1910,1910,1910,0,4427,1008,0,可以随机获得：<br>绝世魂力珠<br>罕见魂力珠<br>天化魂魄(稀有)<br>炼星石<br>1000绑金<br>500绑金,,1,76571,,0,0,0,0,1,1,0
76572,76572,祺福礼包,2,12,0,10000,10000,0,,10,100,1,1,0,0,0,61,0,0,1882,1882,1882,0,4427,1008,0,开启获得：[yellow]<br>(碎片)红色神明*10<br>元灵石·红莲*40<br>(披风)错银虎符碎片(非绑)*3<br>四元精华*15<br>星繁之灵*10<br>红莲之焰(史诗)(非绑)*4[/yellow],,1,76572,,0,0,0,0,1,1,0
76573,76573,祺福礼包,2,12,0,10000,10000,0,,10,100,1,1,0,0,0,61,0,0,1882,1882,1882,0,4427,1008,0,开启获得：[yellow]<br>(碎片)红色神明*10<br>元灵石·红莲*40<br>(披风)错银虎符碎片(非绑)*3<br>四元礼包*15<br>月华之灵*5<br>红莲之焰(史诗)(非绑)*4[/yellow],,1,76573,,0,0,0,0,1,1,0
76574,76574,暗淡福魄碎片,2,12,0,10000,10000,0,,9999,100,1,1,0,0,0,61,0,0,1264,1264,1264,0,4427,1008,0,天官赐福活动抽奖获得。<br>可右键转换成用于兑换[yellow]少量材料[/yellow]的暗淡福魄,,1,76574,,0,0,0,0,1,1,0
76575,76575,糖果[异火],2,12,0,10000,10000,0,,20,100,1,1,0,0,0,61,0,0,3084,3084,3084,0,4427,1008,0,[green]食用后必获得：[/green]<br>[yellow]六丁之焰(完美)*1[/yellow]<br>[green]同时随机获得以下道具之一：[/green]<br>[yellow]苍穹石·六丁*10<br>元灵石·六丁*1<br>天道玉·六丁*1<br>六丁之焰(史诗)*1[/yellow],,1,76575,,0,0,0,0,2375,1,0
76576,76576,月启礼包,2,12,0,10000,10000,60,,10,100,1,1,0,0,0,61,0,0,6070,6070,6070,0,4427,1008,0,开启后可获得[yellow]<br>月启*5[/yellow],,1,76576,,0,0,0,0,1,1,0
76577,76577,圣启礼包,2,12,0,10000,10000,60,,10,100,1,1,0,0,0,61,0,0,6307,6307,6307,0,4427,1008,0,开启后可获得[yellow]<br>圣启*10[/yellow],,1,76577,,0,0,0,0,300000,1,0
76578,76578,圣启大礼包,2,12,0,10000,10000,60,,10,100,1,1,0,0,0,61,0,0,6308,6308,6308,0,4427,1008,0,开启后可获得[yellow]<br>圣启*20[/yellow],,1,76578,,0,0,0,0,600000,1,0
76579,76579,地煞调兵令,2,19,0,10000,10000,60,,1,100,1,1,0,0,0,61,604800,0,3699,3699,3699,0,4427,1008,0,开启后可获得[yellow]<br>青铜虎符(鞋子)(90天)*1<br>自然契约（精良）(7天)：生命、格挡、穿透、反致命和免伤吸收属性增幅至一定值[/yellow],,1,76579,,0,0,0,0,10000,1,0
76580,76580,天罡调兵令,2,19,0,10000,10000,60,,1,100,1,1,0,0,0,61,604800,0,3700,3700,3700,0,4427,1008,0,开启后可获得[yellow]<br>青铜虎符(头盔)(90天)*1<br>山岩契约（精良）(7天)：防御、命中、法宝属性增幅至一定值[/yellow],,1,76580,,0,0,0,0,12000,1,0
76581,76581,太岁调兵令,2,19,0,10000,10000,60,,1,100,1,1,0,0,0,61,604800,0,3701,3701,3701,0,4427,1008,0,开启后可获得[yellow]<br>青铜虎符(护腿)(90天)*1<br>狂厄契约（精良）(7天)：攻击、躲闪、致命和真言属性增幅至一定值[/yellow],,1,76581,,0,0,0,0,14000,1,0
76582,76582,真武调兵令,2,19,0,10000,10000,60,,1,100,1,1,0,0,0,61,604800,0,3702,3702,3702,0,4427,1008,0,开启后可获得[yellow]<br>错银虎符(项链)(90天)*1<br>山岩契约（史诗）(7天)：防御、命中、法宝属性增幅至较高值，数值比优秀与精良契约更高[/yellow],,1,76582,,0,0,0,0,14000,1,0
76583,76583,荧惑调兵令,2,19,0,10000,10000,60,,1,100,1,1,0,0,0,61,604800,0,3703,3703,3703,0,4427,1008,0,开启后可获得[yellow]<br>错银虎符(戒指)(90天)*1<br>狂厄契约（史诗）(7天)：攻击、躲闪、致命和真言属性增幅至较高值，数值比优秀与精良契约更高[/yellow],,1,76583,,0,0,0,0,14000,1,0
76584,76584,琅华令,2,12,0,10000,10000,0,,9999,100,1,1,0,0,0,61,0,0,8195,8195,8195,0,4427,1008,0,[yellow]璀璨之约[/yellow]活动所产道具，右键使用可兑换灵气之华、红色神明箱、传说法宝之灵、四元礼包、稀有限定外观等道具。<br>[red]活动结束后可兑换少量道具[/red],,1,76584,,0,0,0,0,1,1,0
76556,76556,[三人坐骑]玉罗纱·佳肴(25级),2,3,0,10000,10000,30,,1,100,1,1,0,0,0,124,0,0,7536,7536,7536,0,4427,1008,0,开启可获得[三人坐骑]玉罗纱·佳肴(25级)<br>[red]可在无尽之洋骑乘[/red],,1,76556,,1,1,0,0,1,0,0
76557,76557,[坐骑变身卡]玉罗纱·佳肴,2,20,0,10000,10000,30,,1,100,1,1,0,0,0,61,0,0,7536,7536,7536,0,4427,1008,0,[yellow]使用后可使坐骑变身成玉罗纱·佳肴<br>变身时限：30天[/yellow]<br>在坐骑牧场单击变身后可使用,,1,76557,,0,0,0,0,1,0,0
76585,76585,狂厄契约（优秀）,2,19,0,10000,10000,0,,1,100,1,1,0,0,0,61,604800,0,8677,8677,8677,0,4427,1008,0,将使用者的攻击、躲闪、致命和真言属性增幅至一定值<br>若玩家身上存在神隐属性或同类型的契约，只会生效最高值<br>当玩家属性高于契约属性时，契约只能提供少量属性加成<br>持续时间：7天,,1,76585,,0,0,0,0,1,1,0
76586,76586,狂厄契约（精良）,2,19,0,10000,10000,0,,1,100,1,1,0,0,0,61,604800,0,8678,8678,8678,0,4427,1008,0,将使用者的攻击、躲闪、致命和真言属性增幅至一定值，数值比优秀契约更高<br>若玩家身上存在神隐属性或同类型的契约，只会生效最高值<br>当玩家属性高于契约属性时，契约只能提供少量属性加成<br>持续时间：7天,,1,76586,,0,0,0,0,1,1,0
76587,76587,狂厄契约（史诗）,2,19,0,10000,10000,0,,1,100,1,1,0,0,0,61,604800,0,8679,8679,8679,0,4427,1008,0,将使用者的攻击、躲闪、致命和真言属性增幅至较高值，数值比优秀与精良契约更高<br>若玩家身上存在神隐属性或同类型的契约，只会生效最高值<br>当玩家属性高于契约属性时，契约只能提供少量属性加成<br>持续时间：7天,,1,76587,,0,0,0,0,1,1,0
76588,76588,山岩契约（优秀）,2,19,0,10000,10000,0,,1,100,1,1,0,0,0,61,604800,0,8680,8680,8680,0,4427,1008,0,将使用者的防御、命中、法宝属性增幅至一定值<br>若玩家身上存在神隐属性或同类型的契约，只会生效最高值<br>当玩家属性高于契约属性时，契约只能提供少量属性加成<br>持续时间：7天,,1,76588,,0,0,0,0,1,1,0
76589,76589,山岩契约（精良）,2,19,0,10000,10000,0,,1,100,1,1,0,0,0,61,604800,0,8681,8681,8681,0,4427,1008,0,将使用者的防御、命中、法宝属性增幅至一定值，数值比优秀契约更高<br>若玩家身上存在神隐属性或同类型的契约，只会生效最高值<br>当玩家属性高于契约属性时，契约只能提供少量属性加成<br>持续时间：7天,,1,76589,,0,0,0,0,1,1,0
76590,76590,山岩契约（史诗）,2,19,0,10000,10000,0,,1,100,1,1,0,0,0,61,604800,0,8682,8682,8682,0,4427,1008,0,将使用者的防御、命中、法宝属性增幅至较高值，数值比优秀与精良契约更高<br>若玩家身上存在神隐属性或同类型的契约，只会生效最高值<br>当玩家属性高于契约属性时，契约只能提供少量属性加成<br>持续时间：7天,,1,76590,,0,0,0,0,1,1,0
76591,76591,自然契约（优秀）,2,19,0,10000,10000,0,,1,100,1,1,0,0,0,61,604800,0,8683,8683,8683,0,4427,1008,0,将使用者的生命、格挡、穿透、反致命和免伤吸收属性增幅至一定值<br>若玩家身上存在神隐属性或同类型的契约，只会生效最高值<br>当玩家属性高于契约属性时，契约只能提供少量属性加成<br>持续时间：7天,,1,76591,,0,0,0,0,1,1,0
76592,76592,自然契约（精良）,2,19,0,10000,10000,0,,1,100,1,1,0,0,0,61,604800,0,8684,8684,8684,0,4427,1008,0,将使用者的生命、格挡、穿透、反致命和免伤吸收属性增幅至一定值，数值比优秀契约更高<br>若玩家身上存在神隐属性或同类型的契约，只会生效最高值<br>当玩家属性高于契约属性时，契约只能提供少量属性加成<br>持续时间：7天,,1,76592,,0,0,0,0,1,1,0
76593,76593,自然契约（史诗）,2,19,0,10000,10000,0,,1,100,1,1,0,0,0,61,604800,0,8685,8685,8685,0,4427,1008,0,将使用者的生命、格挡、穿透、反致命和免伤吸收属性增幅至较高值，数值比优秀与精良契约更高<br>若玩家身上存在神隐属性或同类型的契约，只会生效最高值<br>当玩家属性高于契约属性时，契约只能提供少量属性加成<br>持续时间：7天,,1,76593,,0,0,0,0,1,1,0
76594,76594,食趣,2,12,0,10000,10000,10,,1000,100,1,1,0,0,0,61,0,0,8483,8483,7864,0,1003,1008,0,使用后获得对应的头像，在魅力界面激活后，可替换当前的头像。,,1,76594,,0,0,0,0,1,0,0
76595,76595,甜趣,2,12,0,10000,10000,10,,1000,100,1,1,0,0,0,61,0,0,8484,8484,7865,0,1003,1008,0,使用后获得对应的头像，在魅力界面激活后，可替换当前的头像。,,1,76595,,0,0,0,0,1,0,0
76596,76596,强化石礼包,2,12,0,10000,10000,0,,9999,100,1,1,0,0,0,61,0,0,1414,1414,1414,0,4427,1008,0,开启后可获得强化石*60,,1,76596,,0,0,0,0,1,1,0
76597,76597,精炼石礼包,2,12,0,10000,10000,0,,9999,100,1,1,0,0,0,61,0,0,1413,1413,1413,0,4427,1008,0,开启后可获得精炼石*40,,1,76597,,0,0,0,0,1,1,0
76598,76598,领袖战旗,2,16,0,10000,10000,0,,1000,640000,32000,7,32,0,0,124,0,0,1614,1614,1614,0,4427,1008,0,使用等级：不低于当前文明等级10级<br>[blue]使用后可让团队伙伴在战旗附近免费原地复活，并在复活后将攻击、防御、生命属性提升至插旗玩家的70%，已超过则不会下降，持续[/blue][red]30分钟（共1000次）[/red]<br>[yellow]一次性道具，积分商城获得[/yellow]<br>[red]允许在中立地图、火龙岛及各国落日城、落日沙漠使用[/red],,0,76598,,3,0,0,0,50000,0,0
76599,76599,功勋礼包（小）,2,12,0,10000,10000,0,,1000,100,1,1,0,0,0,61,0,0,1877,1877,1877,0,4427,1008,0,使用后获得：[yellow]<br>1000功勋[/yellow],,1,76599,,0,0,0,0,1,1,0
76600,76600,功勋礼包（大）,2,12,0,10000,10000,0,,1000,100,1,1,0,0,0,61,0,0,1879,1879,1879,0,4427,1008,0,使用后获得：[yellow]<br>10000功勋[/yellow],,1,76600,,0,0,0,0,1,1,0
76612,76612,[坐骑]泡芙汪·奶豆,2,3,0,10000,10000,30,,1,100,1,1,0,0,0,124,0,0,7537,7537,7537,0,4427,1008,0,开启可获得[坐骑]泡芙汪·奶豆(25级)<br>[red]可在无尽之洋骑乘[/red],,1,76612,,1,1,0,0,1,0,0
76613,76613,[坐骑变身卡]泡芙汪·奶豆,2,20,0,10000,10000,30,,1,100,1,1,0,0,0,61,0,0,7537,7537,7537,0,4427,1008,0,[yellow]使用后可使坐骑变身成泡芙汪·奶豆<br>变身时限：30天[/yellow]<br>在坐骑牧场单击变身后可使用,,1,76613,,0,0,0,0,1,0,0
76614,76614,泡芙汪时装卡,2,3,0,10000,10000,0,,9999,100,1,1,0,0,1,61,0,0,1419,1419,1419,0,1003,1008,0,[yellow]开启获得对应性别的时装:<br>泡芙汪（30天）[/yellow],,1,76614,,0,0,0,0,1,0,0
76615,76615,炎石大礼包,2,12,0,10000,10000,60,,10,100,1,1,0,0,0,61,0,0,4119,4119,4119,0,4427,1008,0,开启获得<br>[yellow]神兵碎片·炎石*2[/yellow],,1,76615,,0,0,0,0,1,1,0
76616,76616,神兵礼包,2,12,0,10000,10000,60,,10,100,1,1,0,0,0,61,0,0,3087,3087,3087,0,4427,1008,0,开启获得<br>[yellow]神兵碎片·炎石*1<br>神兵碎片·天赐*1[/yellow],,1,76616,,0,0,0,0,1,1,0
76617,76617,九转莲魄礼包,2,12,0,10000,10000,60,,10,100,1,1,0,0,0,61,0,0,732,732,732,0,4427,1008,0,可选择开启以下道具之一<br>[yellow]法宝-抚琴仙(斗)*1<br>月华大礼包*1<br>九转莲魄*1(兑换需要额外消耗150000金币)[/yellow],,1,76617,,0,0,0,0,1,1,0
76618,76618,归元汤礼包,2,12,0,10000,10000,60,,10,100,1,1,0,0,0,61,0,0,4153,4153,4153,0,4427,1008,0,可选择开启以下道具之一<br>[yellow]归元汤*1<br>心月狐*1[/yellow],,1,76618,,0,0,0,0,1,1,0
76619,76619,打造礼包,2,12,0,10000,10000,60,,10,100,1,1,0,0,0,61,0,0,3026,3026,3026,0,4427,1008,0,开启获得<br>[yellow]重铸宝石礼包*10<br>重铸礼包*5<br>完美魂石礼包*5[/yellow],,1,76619,,0,0,0,0,1,1,0
76620,76620,翅膀礼包,2,12,0,10000,10000,60,,10,100,1,1,0,0,0,61,0,0,3637,3637,3637,0,4427,1008,0,开启获得<br>[yellow]黄金符文*60<br>豪礼翅膀礼包*10<br>翅膀宝石鉴定符*4[/yellow],,1,76620,,0,0,0,0,1,1,0
76621,76621,真言礼包,2,12,0,10000,10000,60,,10,100,1,1,0,0,0,61,0,0,6060,6060,6060,0,4427,1008,0,开启获得<br>[yellow]心法*20<br>道石*100<br>天诀*50[/yellow],,1,76621,,0,0,0,0,1,1,0
